Дата,Категория,Товар,Количество продаж,Цена_за_ед,Себестоимость_ед,Выручка,Прибыль
2026-03-06,Электроника,Беспроводные наушники Y,43,2178,1364.88,93654,34964.28
2026-03-06,Аксессуары,Чехол для смартфона Z,40,2222,1351.94,88880,34802.25
2026-03-06,Аксессуары,Зарядный кабель,32,3125,1835.33,100000,41269.38
2026-03-06,Дом и сад,Увлажнитель воздуха,10,4127,2166.48,41270,19605.19
2026-03-06,Дом и сад,Настольная лампа,15,2163,1389.15,32445,11607.78
2026-03-06,Одежда,Футболка Basic,32,3802,2555.13,121664,39899.89
2026-03-06,Одежда,Худи Oversize,5,1806,953.81,9030,4260.97
2026-03-07,Электроника,Умная колонка X,17,1782,716.52,30294,18113.22
2026-03-07,Электроника,Беспроводные наушники Y,12,4913,2292.56,58956,31445.22
2026-03-07,Аксессуары,Чехол для смартфона Z,46,1163,794.18,53498,16965.66
2026-03-07,Аксессуары,Зарядный кабель,36,1995,1218.76,71820,27944.75
2026-03-07,Дом и сад,Увлажнитель воздуха,16,4081,2484.89,65296,25537.83
2026-03-07,Дом и сад,Настольная лампа,7,2136,1036.93,14952,7693.52
2026-03-07,Одежда,Футболка Basic,21,1198,698.28,25158,10494.17
2026-03-07,Одежда,Худи Oversize,6,1354,654.79,8124,4195.28
2026-03-08,Электроника,Умная колонка X,37,3974,2401.14,147038,58195.93
2026-03-08,Электроника,Беспроводные наушники Y,48,3277,2279.79,157296,47865.94
2026-03-08,Аксессуары,Чехол для смартфона Z,36,4010,2520.23,144360,53631.78
2026-03-08,Аксессуары,Зарядный кабель,21,1266,811.43,26586,9545.92
2026-03-08,Дом и сад,Увлажнитель воздуха,9,3431,2384.64,30879,9417.26
2026-03-08,Дом и сад,Настольная лампа,26,2430,1567.18,63180,22433.35
2026-03-08,Одежда,Футболка Basic,20,1108,493.3,22160,12294.03
2026-03-08,Одежда,Худи Oversize,10,3011,1241.23,30110,17697.68
2026-03-09,Электроника,Умная колонка X,24,3311,1997.42,79464,31525.81
2026-03-09,Электроника,Беспроводные наушники Y,23,1869,1034.73,42987,19188.2
2026-03-09,Аксессуары,Чехол для смартфона Z,23,3719,2207.42,85537,34766.36
2026-03-09,Аксессуары,Зарядный кабель,45,3476,1804.99,156420,75195.54
2026-03-09,Дом и сад,Увлажнитель воздуха,43,2885,1879.04,124055,43256.36
2026-03-09,Дом и сад,Настольная лампа,15,4561,2776.44,68415,26768.37
2026-03-09,Одежда,Футболка Basic,11,1123,636.25,12353,5354.28
2026-03-09,Одежда,Худи Oversize,6,4223,2396.5,25338,10958.99
2026-03-10,Электроника,Умная колонка X,36,4590,2095.85,165240,89789.41
2026-03-10,Электроника,Беспроводные наушники Y,45,3670,2239.09,165150,64390.77
2026-03-10,Аксессуары,Чехол для смартфона Z,20,1654,1086.51,33080,11349.84
2026-03-10,Аксессуары,Зарядный кабель,37,4491,2942.86,166167,57281.33
2026-03-10,Дом и сад,Увлажнитель воздуха,12,1945,1168.35,23340,9319.74
2026-03-10,Дом и сад,Настольная лампа,39,3683,1585.32,143637,81809.68
2026-03-10,Одежда,Футболка Basic,39,2700,1084.1,105300,63020.1
2026-03-10,Одежда,Худи Oversize,22,4277,2598.57,94094,36925.44
2026-03-11,Электроника,Умная колонка X,20,1456,680.36,29120,15512.78
2026-03-11,Электроника,Беспроводные наушники Y,37,4993,2484.62,184741,92810.2
2026-03-11,Аксессуары,Чехол для смартфона Z,24,2027,1205.84,48648,19707.8
2026-03-11,Аксессуары,Зарядный кабель,11,1718,1026.13,18898,7610.53
2026-03-11,Дом и сад,Увлажнитель воздуха,37,3235,1384.91,119695,68453.28
2026-03-11,Дом и сад,Настольная лампа,26,3946,1874.9,102596,53848.69
2026-03-11,Одежда,Футболка Basic,34,3936,2149.15,133824,60753.07
2026-03-11,Одежда,Худи Oversize,12,3854,2043.85,46248,21721.84
2026-03-12,Электроника,Умная колонка X,25,1459,961.85,36475,12428.85
2026-03-12,Электроника,Беспроводные наушники Y,23,3620,1495.35,83260,48866.86
2026-03-12,Аксессуары,Чехол для смартфона Z,48,1743,942.93,83664,38403.17
2026-03-12,Аксессуары,Зарядный кабель,10,1560,1058.45,15600,5015.47
2026-03-12,Дом и сад,Увлажнитель воздуха,35,3670,2547.35,128450,39292.92
2026-03-12,Дом и сад,Настольная лампа,25,3475,2277.31,86875,29942.25
2026-03-12,Одежда,Футболка Basic,7,627,320.9,4389,2142.68
2026-03-12,Одежда,Худи Oversize,46,1069,725.86,49174,15784.61
2026-03-13,Электроника,Умная колонка X,28,4514,3146.33,126392,38294.73
2026-03-13,Электроника,Беспроводные наушники Y,6,654,319.54,3924,2006.78
2026-03-13,Аксессуары,Чехол для смартфона Z,30,1284,840.51,38520,13304.77
2026-03-13,Аксессуары,Зарядный кабель,13,4841,2458.49,62933,30972.64
2026-03-13,Дом и сад,Увлажнитель воздуха,33,3306,1738.74,109098,51719.62
2026-03-13,Дом и сад,Настольная лампа,29,2955,1991.59,85695,27938.96
2026-03-13,Одежда,Футболка Basic,11,4631,2961.47,50941,18364.81
2026-03-13,Одежда,Худи Oversize,5,4347,2654.24,21735,8463.82
2026-03-14,Электроника,Умная колонка X,20,3201,2135.07,64020,21318.56
2026-03-14,Электроника,Беспроводные наушники Y,27,1666,854.12,44982,21920.86
2026-03-14,Аксессуары,Чехол для смартфона Z,6,3274,1969.66,19644,7826.02
2026-03-14,Аксессуары,Зарядный кабель,29,4269,2402.56,123801,54126.62
2026-03-14,Дом и сад,Увлажнитель воздуха,26,2215,911.81,57590,33883.05
2026-03-14,Дом и сад,Настольная лампа,19,2991,1489.5,56829,28528.42
2026-03-14,Одежда,Футболка Basic,12,3624,1744.82,43488,22550.14
2026-03-14,Одежда,Худи Oversize,48,504,270.74,24192,11196.55
2026-03-15,Электроника,Умная колонка X,10,1376,630.64,13760,7453.6
2026-03-15,Электроника,Беспроводные наушники Y,34,4642,2830.94,157828,61576.02
2026-03-15,Аксессуары,Чехол для смартфона Z,44,4864,3360.35,214016,66160.68
2026-03-15,Аксессуары,Зарядный кабель,46,2193,904.22,100878,59283.96
2026-03-15,Дом и сад,Увлажнитель воздуха,23,4175,2601.91,96025,36180.99
2026-03-15,Дом и сад,Настольная лампа,30,1240,564.57,37200,20262.84
2026-03-15,Одежда,Футболка Basic,27,1650,1004.51,44550,17428.3
2026-03-15,Одежда,Худи Oversize,5,1581,1066.49,7905,2572.57
2026-03-16,Электроника,Умная колонка X,38,1059,481.7,40242,21937.53
2026-03-16,Электроника,Беспроводные наушники Y,49,3843,2132.9,188307,83794.94
2026-03-16,Аксессуары,Чехол для смартфона Z,9,2794,1157.6,25146,14727.64
2026-03-16,Аксессуары,Зарядный кабель,30,2179,975.31,65370,36110.78
2026-03-16,Дом и сад,Увлажнитель воздуха,26,3244,1630.32,84344,41955.75
2026-03-16,Дом и сад,Настольная лампа,32,3618,1491.41,115776,68050.97
2026-03-16,Одежда,Футболка Basic,9,3459,1485.12,31131,17764.9
2026-03-16,Одежда,Худи Oversize,25,2135,964.94,53375,29251.61
2026-03-17,Электроника,Умная колонка X,34,4952,2572.82,168368,80892.17
2026-03-17,Электроника,Беспроводные наушники Y,14,3349,1601.72,46886,24461.92
2026-03-17,Аксессуары,Чехол для смартфона Z,14,4230,2330.48,59220,26593.28
2026-03-17,Аксессуары,Зарядный кабель,5,1515,905.38,7575,3048.12
2026-03-17,Дом и сад,Увлажнитель воздуха,8,3587,1510.74,28696,16610.09
2026-03-17,Дом и сад,Настольная лампа,6,1395,824.33,8370,3423.99
2026-03-17,Одежда,Футболка Basic,24,2187,1319.09,52488,20829.84
2026-03-17,Одежда,Худи Oversize,39,2927,1283.64,114153,64091.19
2026-03-18,Электроника,Умная колонка X,47,4413,2038.83,207411,111586.02
2026-03-18,Электроника,Беспроводные наушники Y,33,2944,1367.13,97152,52036.87
2026-03-18,Аксессуары,Чехол для смартфона Z,6,3046,1783.36,18276,7575.84
2026-03-18,Аксессуары,Зарядный кабель,27,3396,2026.45,91692,36977.84
2026-03-18,Дом и сад,Увлажнитель воздуха,33,2125,1067.15,70125,34909.11
2026-03-18,Дом и сад,Настольная лампа,45,4474,1948.2,201330,113660.96
2026-03-18,Одежда,Футболка Basic,49,3646,2418.18,178654,60163.23
2026-03-18,Одежда,Худи Oversize,40,1228,787.2,49120,17631.91
2026-03-19,Электроника,Умная колонка X,40,3965,2089.72,158600,75011.25
2026-03-19,Электроника,Беспроводные наушники Y,28,3286,2290.84,92008,27864.48
2026-03-19,Аксессуары,Чехол для смартфона Z,40,2643,1327.42,105720,52623.07
2026-03-19,Аксессуары,Зарядный кабель,36,4632,2184.35,166752,88115.25
2026-03-19,Дом и сад,Увлажнитель воздуха,17,2826,1770.1,48042,17950.28
2026-03-19,Дом и сад,Настольная лампа,45,4452,2455.62,200340,89837.32
2026-03-19,Одежда,Футболка Basic,29,1865,912.53,54085,27621.72
2026-03-19,Одежда,Худи Oversize,23,895,615.37,20585,6431.53
2026-03-20,Электроника,Умная колонка X,23,4671,2365.73,107433,53021.24
2026-03-20,Электроника,Беспроводные наушники Y,32,1217,733.89,38944,15459.56
2026-03-20,Аксессуары,Чехол для смартфона Z,23,4077,2403.6,93771,38488.2
2026-03-20,Аксессуары,Зарядный кабель,9,4991,2488.51,44919,22522.42
2026-03-20,Дом и сад,Увлажнитель воздуха,25,4136,2636.59,103400,37485.22
2026-03-20,Дом и сад,Настольная лампа,43,2656,1804.16,114208,36628.93
2026-03-20,Одежда,Футболка Basic,43,3794,1581.19,163142,95150.72
2026-03-20,Одежда,Худи Oversize,39,1232,622.5,48048,23770.57
2026-03-21,Электроника,Умная колонка X,22,1453,850.68,31966,13251.01
2026-03-21,Электроника,Беспроводные наушники Y,42,2042,1077.82,85764,40495.41
2026-03-21,Аксессуары,Чехол для смартфона Z,44,3493,2331.82,153692,51091.97
2026-03-21,Аксессуары,Зарядный кабель,6,2040,1130.16,12240,5459.07
2026-03-21,Дом и сад,Увлажнитель воздуха,42,2886,1657.69,121212,51588.84
2026-03-21,Дом и сад,Настольная лампа,49,2356,1564.64,115444,38776.72
2026-03-21,Одежда,Футболка Basic,21,1010,679.03,21210,6950.34
2026-03-21,Одежда,Худи Oversize,49,1655,835.88,81095,40136.72
2026-03-22,Электроника,Умная колонка X,35,2310,1462.56,80850,29660.3
2026-03-22,Электроника,Беспроводные наушники Y,43,4686,2224.06,201498,105863.57
2026-03-22,Аксессуары,Чехол для смартфона Z,23,4634,2457.57,106582,50057.78
2026-03-22,Аксессуары,Зарядный кабель,49,1743,996.02,85407,36601.86
2026-03-22,Дом и сад,Увлажнитель воздуха,24,955,415.67,22920,12943.89
2026-03-22,Дом и сад,Настольная лампа,45,2458,1533.33,110610,41609.99
2026-03-22,Одежда,Футболка Basic,17,4785,2488.52,81345,39040.16
2026-03-22,Одежда,Худи Oversize,29,1323,738.91,38367,16938.61
2026-03-23,Электроника,Умная колонка X,10,2605,1051.5,26050,15535.01
2026-03-23,Электроника,Беспроводные наушники Y,36,2352,1168.49,84672,42606.45
2026-03-23,Аксессуары,Чехол для смартфона Z,20,3433,2325.49,68660,22150.2
2026-03-23,Аксессуары,Зарядный кабель,41,1750,1065.09,71750,28081.28
2026-03-23,Дом и сад,Увлажнитель воздуха,22,1756,816.62,38632,20666.47
2026-03-23,Дом и сад,Настольная лампа,19,3986,2785.22,75734,22814.91
2026-03-23,Одежда,Футболка Basic,7,3203,1989.48,22421,8494.64
2026-03-23,Одежда,Худи Oversize,15,1853,1269.53,27795,8751.99
2026-03-24,Электроника,Умная колонка X,12,857,459.95,10284,4764.61
2026-03-24,Электроника,Беспроводные наушники Y,32,4968,2400.61,158976,82156.51
2026-03-24,Аксессуары,Чехол для смартфона Z,32,4685,2419.71,149920,72489.24
2026-03-24,Аксессуары,Зарядный кабель,32,3279,1666.07,104928,51613.71
2026-03-24,Дом и сад,Увлажнитель воздуха,40,4275,2291.28,171000,79348.74
2026-03-24,Дом и сад,Настольная лампа,21,3008,1821.1,63168,24924.87
2026-03-24,Одежда,Футболка Basic,33,3456,2326.85,114048,37261.97
2026-03-24,Одежда,Худи Oversize,10,755,433.63,7550,3213.67
2026-03-25,Электроника,Умная колонка X,29,509,346.03,14761,4726.2
2026-03-25,Электроника,Беспроводные наушники Y,49,1515,777.1,74235,36156.97
2026-03-25,Аксессуары,Чехол для смартфона Z,5,2693,1874.82,13465,4090.9
2026-03-25,Аксессуары,Зарядный кабель,15,4658,2412.36,69870,33684.55
2026-03-25,Дом и сад,Увлажнитель воздуха,31,4500,2432.74,139500,64085.19
2026-03-25,Дом и сад,Настольная лампа,39,1010,486.84,39390,20403.15
2026-03-25,Одежда,Футболка Basic,10,2500,1400.76,25000,10992.4
2026-03-25,Одежда,Худи Oversize,9,1960,1128.07,17640,7487.39
2026-03-26,Электроника,Умная колонка X,41,4678,2218.33,191798,100846.54
2026-03-26,Электроника,Беспроводные наушники Y,18,2548,1748.48,45864,14391.42
2026-03-26,Аксессуары,Чехол для смартфона Z,17,2323,961.88,39491,23139.0
2026-03-26,Аксессуары,Зарядный кабель,35,2074,1247.45,72590,28929.15
2026-03-26,Дом и сад,Увлажнитель воздуха,38,2665,1730.68,101270,35504.1
2026-03-26,Дом и сад,Настольная лампа,16,2484,1404.88,39744,17265.9
2026-03-26,Одежда,Футболка Basic,9,3537,2345.02,31833,10727.85
2026-03-26,Одежда,Худи Oversize,21,3314,1354.22,69594,41155.47
2026-03-27,Электроника,Умная колонка X,19,1752,1026.83,33288,13778.14
2026-03-27,Электроника,Беспроводные наушники Y,6,2622,1216.32,15732,8434.09
2026-03-27,Аксессуары,Чехол для смартфона Z,42,1829,1055.29,76818,32495.91
2026-03-27,Аксессуары,Зарядный кабель,34,1858,987.05,63172,29612.35
2026-03-27,Дом и сад,Увлажнитель воздуха,38,1831,1033.11,69578,30319.73
2026-03-27,Дом и сад,Настольная лампа,37,1858,964.23,68746,33069.38
2026-03-27,Одежда,Футболка Basic,46,2628,1799.8,120888,38097.11
2026-03-27,Одежда,Худи Oversize,8,637,431.87,5096,1641.03
2026-03-28,Электроника,Умная колонка X,14,3332,1590.94,46648,24374.82
2026-03-28,Электроника,Беспроводные наушники Y,28,4664,3236.86,130592,39959.88
2026-03-28,Аксессуары,Чехол для смартфона Z,6,4800,2221.15,28800,15473.11
2026-03-28,Аксессуары,Зарядный кабель,47,4323,2172.17,203181,101088.85
2026-03-28,Дом и сад,Увлажнитель воздуха,27,3945,2403.69,106515,41615.38
2026-03-28,Дом и сад,Настольная лампа,8,4955,3017.35,39640,15501.2
2026-03-28,Одежда,Футболка Basic,29,3766,2494.2,109214,36882.08
2026-03-28,Одежда,Худи Oversize,31,4688,3243.78,145328,44770.75
2026-03-29,Электроника,Умная колонка X,23,4400,1801.98,101200,59754.41
2026-03-29,Электроника,Беспроводные наушники Y,10,1023,472.52,10230,5504.76
2026-03-29,Аксессуары,Чехол для смартфона Z,38,2468,1359.93,93784,42106.65
2026-03-29,Аксессуары,Зарядный кабель,49,2796,1521.98,137004,62426.75
2026-03-29,Дом и сад,Увлажнитель воздуха,26,2786,1542.04,72436,32342.88
2026-03-29,Дом и сад,Настольная лампа,47,3378,1733.54,158766,77289.54
2026-03-29,Одежда,Футболка Basic,21,2555,1595.54,53655,20148.64
2026-03-29,Одежда,Худи Oversize,19,802,409.94,15238,7449.22
2026-03-30,Электроника,Умная колонка X,26,1025,600.11,26650,11047.05
2026-03-30,Электроника,Беспроводные наушники Y,27,2625,1414.25,70875,32690.36
2026-03-30,Аксессуары,Чехол для смартфона Z,49,2146,1402.05,105154,36453.51
2026-03-30,Аксессуары,Зарядный кабель,47,2031,877.7,95457,54205.1
2026-03-30,Дом и сад,Увлажнитель воздуха,42,2406,1137.42,101052,53280.56
2026-03-30,Дом и сад,Настольная лампа,29,2575,1045.51,74675,44355.35
2026-03-30,Одежда,Футболка Basic,21,625,272.46,13125,7403.44
2026-03-30,Одежда,Худи Oversize,21,4096,2367.81,86016,36292.07
2026-03-31,Электроника,Умная колонка X,8,566,336.57,4528,1835.44
2026-03-31,Электроника,Беспроводные наушники Y,22,2658,1529.04,58476,24837.11
2026-03-31,Аксессуары,Чехол для смартфона Z,26,4507,2386.45,117182,55134.38
2026-03-31,Аксессуары,Зарядный кабель,23,2972,1489.67,68356,34093.65
2026-03-31,Дом и сад,Увлажнитель воздуха,30,2261,1070.14,67830,35725.66
2026-03-31,Дом и сад,Настольная лампа,49,4312,2932.62,211288,67589.44
2026-03-31,Одежда,Футболка Basic,26,2824,1259.1,73424,40687.34
2026-03-31,Одежда,Худи Oversize,8,3921,1787.86,31368,17065.13
